1-WT-0h-A431	1-WT-0h-A431-HSA	1-WT-24h-A431	1-WT-24h-A431-HSA	1-WT-3h-A431	1-WT-3h-A431-HSA	2-WT-0h-A431	2-WT-0h-A431-HSA	2-WT-24h-A431	2-WT-24h-A431-HSA	2-WT-3h-A431	2-WT-3h-A431-HSA	3-WT-0h-A431	3-WT-0h-A431-HSA	3-WT-24h-A431	3-WT-24h-A431-HSA	3-WT-3h-A431	3-WT-3h-A431-HSA
C1_02600W_A	2402	2304	730	1063	436	986	1843	5468	655	872	481	1391	1649	1967	580	1049	429	1280
C1_02610W_A	1450	2547	1619	2174	566	634	2128	2232	1219	2859	380	789	1714	1712	1778	2220	500	542
C1_02620C_A	7081	8416	1199	666	1718	2578	8108	10896	969	827	1766	3081	7387	6789	1024	825	1627	2664
C1_02630C_A	889	1066	741	866	974	1426	923	1209	608	658	1070	1569	913	1107	473	1095	811	1013
C1_02640C_A	2889	5822	1536	1639	914	1720	3882	6202	1566	1762	1216	1815	3742	4143	1382	1850	806	1805
C1_02650W_A	1647	3507	934	1505	142	1070	1857	4390	1052	1479	340	809	2664	3232	838	1507	108	1036
C1_02660C_A	627	1530	504	308	275	432	946	1299	479	407	306	492	693	919	428	395	268	388
C1_02670C_A	20	19	11	4	1	5	9	16	1	15	0	4	21	23	3	5	3	2
C1_02680C_A	336	461	526	230	118	110	422	492	410	320	87	190	249	218	472	258	117	96
C1_02690C_A	0	1	6	39	1	2	1	4	8	22	2	0	0	0	3	38	0	0
C1_02700C_A	309	286	2617	3113	691	264	344	499	2329	3572	615	266	733	810	3501	4465	509	151
C1_02710W_A	6318	14148	1905	2607	2068	3141	9650	12335	1549	3510	2115	3504	8026	8707	2086	2588	2127	3559
C1_02720W_A	652	1202	637	702	327	351	1067	1207	535	765	296	428	976	858	540	695	300	327
C1_02730W_A	49	54	405	492	42	35	70	71	322	862	33	41	62	76	606	765	30	21
C1_02740C_A	187	302	386	193	149	113	238	257	303	211	98	123	224	212	308	212	124	80
C1_02750C_A	1968	4236	1207	1669	680	920	3203	3285	777	2033	452	1161	2345	2444	1111	1676	697	904
C1_02760W_A	5557	6421	1522	1382	1603	2158	6197	7657	1422	1627	1792	2830	5343	4991	1341	1635	1639	2072
C1_02770W_A	1053	1708	498	391	570	814	1235	1587	460	346	440	948	1031	1328	341	432	430	646
C1_02780W_A	1376	1602	443	170	1163	727	1748	1466	361	275	1040	1063	2477	1976	360	258	1319	685
C1_02790W_A	6463	15955	3574	5020	2489	3857	10378	13071	3006	6604	2282	4740	9807	9157	3315	5817	2646	3576
C1_02800W_A	98	54	17	29	11	6	83	146	18	45	10	7	128	104	36	21	7	11
C1_02810W_A	1218	2433	1277	1386	412	336	1963	2719	953	1701	318	528	1443	1819	1097	1047	553	390
C1_02820W_A	20175	29863	2567	2391	941	1374	19689	44459	1877	3114	673	1628	17713	24141	2444	2195	965	1506
C1_02830W_A	606	1136	626	460	241	258	865	1161	496	694	176	348	990	964	543	513	263	239
C1_02840W_A	291	2919	1192	3849	162	494	823	1657	791	5653	88	519	589	1768	1235	6306	129	391
C1_02850W_A	881	2798	523	745	322	570	1348	2340	352	1466	260	537	1758	2256	710	1294	428	601
C1_02860C_A	2358	2008	1550	1656	790	912	2540	2591	1407	1524	813	1305	2069	1301	1183	1824	811	944
C1_02870W_A	495	792	627	666	326	391	755	624	630	768	408	563	456	465	560	795	268	429
C1_02880C_A	1225	2891	1576	1751	422	722	1296	3907	1258	2026	418	725	2070	2955	1269	2019	341	694
C1_02890C_A	138	331	811	477	34	70	96	640	801	554	43	111	296	390	570	542	27	93
C1_02900C_A	511	1276	727	611	306	513	883	958	599	841	245	596	788	679	696	751	315	417
C1_02910C_A	203	262	285	237	148	150	236	245	283	270	132	171	260	215	254	244	156	123
C1_02920W_A	966	1784	992	950	384	454	1425	1769	775	1048	338	691	1280	1321	690	989	428	462
C1_02930C_A	575	1397	640	670	239	376	790	1298	592	795	194	500	869	1136	557	717	240	347
C1_02940C_A	641	803	680	783	310	272	836	894	621	783	317	355	715	544	613	907	350	260
C1_02950W_A	133	114	159	143	54	38	148	140	151	155	35	52	133	96	144	195	58	26
C1_02960C_A	1154	2526	2561	1510	960	794	1594	2709	1923	2337	671	992	1946	1984	2935	2230	992	782
C1_02970W_A	4434	6176	1192	755	1260	1292	5507	9153	967	889	1135	1760	4366	4641	1432	946	1400	1376
C1_02980W_A	2150	3325	141	73	187	157	2258	5523	133	93	148	157	1708	2340	149	70	212	162
C1_02990C_A	1402	4903	338	923	365	160	2280	2291	336	1311	238	290	1428	1188	374	948	369	191
C1_03000W_A	302	485	102	106	109	105	378	616	98	279	102	80	338	402	138	109	99	70
C1_03010W_A	21452	48921	4114	6982	5482	11568	30662	45303	3659	9619	5478	13301	31694	34137	3707	8586	6233	10434
C1_03020C_A	35854	84340	9695	15915	12436	21602	56551	73997	10429	18829	16380	27749	56754	56597	9278	19311	14773	26900
C1_03030W_A	31882	75369	8624	14397	10897	18675	49191	62537	8576	18658	13920	23644	48396	48824	8689	16631	12109	21163
C1_03040W_A	629	630	477	584	223	317	654	676	487	622	206	368	478	351	448	663	184	258
C1_03050W_A	1113	1729	985	1104	503	506	1554	1567	726	1658	395	635	1530	1272	1142	1304	561	537
C1_03060C_A	549	2471	621	798	465	1356	1045	1428	591	1116	579	1393	1174	1080	548	1204	463	1069
C1_03070C_A	1435	2074	682	770	476	611	1840	1704	506	1229	321	638	1556	1430	834	699	492	543
C1_03080C_A	328	450	580	308	218	294	563	222	547	329	203	266	198	177	372	381	191	226
C1_03090W_A	52862	112343	12970	20902	17327	30222	73775	105168	13847	25462	23243	38334	72392	74497	13134	24705	18906	36330
C1_03100W_A	5047	4037	4490	1512	3400	2404	7468	2712	3324	2458	3261	3280	7583	4396	3807	1931	4334	2569
C1_03110W_A	29009	71920	7866	13681	10646	17866	44878	60088	8045	18154	12130	21604	44129	44150	8210	16992	11300	19848
C1_03120W_A	956	1271	1816	2835	413	306	1386	1740	1491	2866	359	544	1111	1162	1871	3393	468	389
C1_03130C_A	2037	3516	2003	1416	1219	1163	3163	3262	1750	1887	1138	1617	3178	2832	1756	2043	1390	1206
C1_03140W_A	98	131	191	141	94	69	115	224	188	186	66	75	131	166	152	165	79	89
C1_03150C_A	194	142	266	109	148	103	188	425	226	152	126	116	573	660	213	146	121	105
C1_03160C_A	957	1170	1015	905	273	367	872	1848	1017	848	316	627	928	1023	865	950	295	508
C1_03170C_A	248	277	313	399	132	79	361	325	228	433	95	114	350	247	294	372	180	98
C1_03180W_A	253	503	330	333	204	227	446	437	312	349	191	227	361	305	266	372	178	223
C1_03190C_A	19373	26584	23509	14617	12152	15789	25346	29738	18398	14073	10523	21488	21842	23774	14630	15589	11655	15496
C1_03200C_A	658	1298	500	572	256	332	1044	1349	327	1106	177	332	883	1054	648	497	245	268
C1_03210C_A	6729	8894	4923	2639	3228	2735	9960	5387	4201	2664	3092	3768	4410	3289	3497	3063	3125	2245
C1_03220C_A	16608	30578	6880	5007	6499	7325	25433	26280	4978	6609	5758	9532	20791	21006	6340	6069	6896	7956
C1_03230C_A	1846	10445	1824	2926	1340	3615	4065	5534	1716	4539	2018	3916	4261	3817	1938	4563	1625	3767
C1_03240W_A	502	950	270	197	384	491	639	823	223	282	435	557	982	982	223	265	392	471
C1_03250C_A	616	962	568	552	299	234	837	804	461	674	228	347	580	535	439	571	303	239
C1_03260W_A	502	1142	736	549	298	256	845	667	564	546	222	300	661	576	541	526	311	169
C1_03270W_A	319	333	216	392	171	40	415	306	262	485	148	99	278	404	356	423	255	56
C1_03280W_A	2512	6195	2135	2486	792	1346	3412	5970	2074	2975	794	1594	3244	4202	1929	3143	593	1383
C1_03290W_A	917	1662	1269	1398	462	445	1457	1495	981	1447	290	578	1112	1088	941	1477	482	337
C1_03300C_A	1244	3057	1242	1589	462	944	1626	3073	1024	1850	361	1000	1885	2331	943	1758	353	714
C1_03310W_A	972	2163	563	1283	354	514	1693	1727	379	1721	304	656	1357	1496	697	1377	374	537
C1_03320C_A	130	138	1097	1615	114	64	110	309	810	1940	88	78	266	279	1071	1892	111	73
C1_03330C_A	368	368	769	952	213	119	399	554	608	1054	185	211	436	389	718	857	262	149
C1_03340C_A	5021	4494	1926	1702	1340	1240	5456	4727	1726	1921	1284	1713	3774	2379	1687	1720	1427	1091
C1_03350C_A	5588	13903	5187	9917	1293	4388	7597	10686	4597	11535	1368	3311	8824	8923	4919	9410	1197	3165
C1_03360W_A	2510	4781	1096	1391	715	1215	3411	3564	780	2323	556	1296	3219	3524	1273	1426	774	1074
C1_03370W_A	23903	55492	9131	12753	5876	10751	34943	53591	8042	16599	6816	14061	44172	39869	9754	15046	7739	13066
C1_03380W_A	6299	8136	13239	24112	2904	1568	6744	12237	10318	35656	2537	3401	9723	12869	16063	29914	4389	2307
C1_03390W_A	271	1526	3698	2696	2151	1752	640	1100	2718	3231	1834	3356	671	624	3315	2654	2860	2061
C1_03400W_A	1566	1992	735	2222	238	392	1418	5537	645	3007	179	533	2830	3028	862	2199	277	472
C1_03410W_A	94	217	229	123	61	97	199	73	183	116	66	125	53	59	103	137	59	85
C1_03430W_A	380	564	342	270	167	179	449	841	205	284	113	186	619	733	234	235	119	131
C1_03440C_A	1294	2325	1298	825	767	813	2034	1756	983	1183	688	1054	2001	1716	1103	933	832	781
C1_03450C_A	1321	1853	1933	1588	894	699	1692	2386	1523	1832	972	1071	1798	2349	1615	1572	1020	948
C1_03460C_A	425	2539	88	36	50	61	952	1041	50	85	58	96	250	660	67	52	60	88
C1_03470C_A	1	7	8	12	1	1	4	2	3	14	0	0	7	6	6	16	0	0
C1_03480C_A	1043	1461	2113	2162	496	574	1419	1364	1751	3835	491	820	1048	1108	2221	4195	607	622
C1_03490W_A	1680	3662	1403	872	1046	1096	2688	3179	1112	1124	1449	1891	1835	2001	1028	1026	1483	1317
C1_03500W_A	4692	5785	2905	3184	1676	2019	5806	6517	2531	3705	1979	2440	4631	3829	3293	4008	1576	1982
C1_03510C_A	1065	1237	1285	547	1645	1411	1047	1493	1013	942	1427	2311	1764	2053	1257	853	1667	1804
C1_03520W_A	3601	4664	1962	1941	1572	1625	4793	5739	1806	2215	1694	2281	4371	3620	2148	2127	1972	1703
C1_03530W_A	755	1453	791	1001	382	419	1163	1237	687	1143	264	591	845	935	721	1040	337	417
C1_03540C_A	483	1194	502	281	212	217	799	861	534	285	283	276	594	642	384	310	202	265
C1_03550C_A	3628	4673	1105	613	1178	1155	4102	5994	893	951	1294	1908	5022	3726	1015	728	1572	1442
C1_03560C_A	1873	5539	2628	7506	803	1600	2775	4297	2123	9799	746	1832	2884	3535	3110	9257	844	1642
C1_03580W_A	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0
C1_03600W_A	2828	2866	943	463	1058	1019	3575	3262	938	491	1313	1508	2718	1818	690	622	1273	1100
C1_03610C_A	317	431	231	176	177	223	332	412	240	185	145	264	271	311	220	225	124	213
C1_03620C_A	3922	6958	1449	1784	889	1213	4312	7940	1359	2182	1523	1644	4034	4804	1446	2330	1035	1777
C1_03630W_A	695	1407	679	695	283	430	972	1007	494	988	252	499	986	1096	662	649	375	394
C1_03640C_A	481	1091	488	343	226	223	854	606	511	393	247	304	448	415	353	381	187	228
C1_03650C_A	1106	2834	1192	1444	447	690	1421	2522	1157	1578	448	848	1433	1936	986	1756	367	730
C1_03660W_A	104	121	129	79	57	30	151	135	130	123	47	48	143	129	124	90	46	30
C1_03670C_A	457	611	804	599	276	262	454	1010	724	767	218	326	909	1004	774	675	267	229
C1_03680W_A	337	678	1005	542	416	971	492	757	696	756	493	1536	803	1085	1006	600	446	1857
C1_03690W_A	1260	2331	566	322	543	567	1943	1948	381	641	386	736	1661	1642	590	448	636	572
C1_03710C_A	838	2715	2469	1551	460	758	2001	1094	1493	1975	375	828	858	1173	1806	1801	539	643
C1_03720C_A	1717	1698	2048	697	503	451	1876	1430	1563	821	336	695	1760	1425	1659	881	517	407
C1_03730C_A	3249	2948	1476	781	916	902	3345	3485	1141	988	941	1356	3123	2283	1158	758	975	953
C1_03740W_A	164	643	883	2120	155	227	320	699	534	2494	87	264	409	664	868	1955	162	246
C1_03750W_A	374	606	529	600	286	236	557	456	528	676	331	518	322	386	582	629	308	378
C1_03760C_A	2016	3491	739	1266	585	1224	2464	5676	595	1585	713	1458	1989	2207	626	1433	667	1192
C1_03770W_A	797	2434	870	1103	348	814	1394	2387	543	1656	268	817	1071	1507	701	1417	322	679
C1_03780C_A	5568	11257	4905	4092	1935	3055	8500	8958	3462	6731	1777	3391	7057	6876	6162	4323	1815	3191
C1_03790C_A	2165	10501	2564	3852	2052	5235	4547	6355	2654	5290	2882	6138	4940	3904	2215	6378	2592	5733
C1_03800W_A	195	688	534	636	140	359	362	379	458	863	177	410	394	381	362	1054	182	282
C1_03810C_A	173	250	355	363	102	134	222	217	251	537	75	127	194	187	311	631	75	110
C1_03820W_A	171	312	1683	872	295	101	231	617	1028	1091	93	201	161	335	1632	978	190	147
C1_03830C_A	364	1248	538	680	309	531	691	958	540	938	325	599	720	711	471	1038	295	535
C1_03840W_A	107	265	135	95	105	134	159	229	122	112	89	147	211	230	111	142	82	115
C1_03860C_A	1713	3892	1871	1998	588	546	2810	2949	1263	3322	395	684	2063	2237	2162	2230	752	660
C1_03870C_A	2153	2594	4321	6665	130	250	1535	9193	3275	7228	52	1043	974	1890	3730	5745	114	756
C1_03880C_A	0	1	1	0	0	0	0	4	0	2	0	0	0	2	0	0	0	0
C1_03890W_A	3	4	5	7	1	6	0	1	10	12	2	8	0	5	12	5	0	3
C1_03900W_A	115	190	105	108	44	87	135	192	122	122	67	115	163	167	80	146	66	116
C1_03910C_A	360	603	520	613	210	221	507	695	445	580	155	275	420	462	367	545	178	166
C1_03920C_A	136	241	257	255	70	111	180	217	225	272	82	120	202	204	225	204	78	118
C1_03930W_A	362	709	676	517	111	215	383	818	549	516	104	223	480	635	444	431	114	194
C1_03940W_A	1838	3192	1904	2998	140	1279	1651	5010	1989	2135	265	681	2453	3931	1606	2071	103	1196
C1_03950C_A	141	159	159	164	55	119	142	243	101	171	40	82	166	206	109	147	65	72
C1_03960C_A	889	988	684	876	277	239	1016	1383	484	966	218	349	1011	835	646	701	357	300
C1_03970W_A	22	34	44	51	3	4	21	37	41	61	3	5	25	24	30	54	6	7
C1_03980W_A	122	189	168	166	47	67	152	130	160	151	55	107	93	88	115	188	58	68
C1_03990W_A	366	361	413	262	161	167	435	627	300	327	195	264	363	277	424	277	248	178
C1_04000C_A	642	1229	675	568	165	179	1001	1183	579	804	142	228	928	830	626	604	152	220
C1_04010C_A	579	113	351	192	454	18	685	168	239	418	423	12	924	150	318	226	443	7
C1_04020C_A	1235	211	3938	1377	7450	340	1435	262	3333	3301	7067	401	3553	509	3529	2092	8072	256
C1_04030W_A	730	1239	433	172	221	310	753	1369	300	276	195	366	826	968	378	245	258	260
C1_04040C_A	833	4528	1335	1775	749	1927	1837	2744	1158	2786	914	2065	2035	1830	1123	2987	858	1865
C1_04050C_A	0	1	3	2	0	0	0	0	3	3	1	1	0	0	4	2	0	3
C1_04060W_A	122	83	317	123	61	50	163	99	267	230	35	69	164	85	342	168	58	27
C1_04070C_A	293	392	425	312	185	218	382	370	430	265	219	315	347	313	328	354	178	194
C1_04080W_A	137	225	208	204	82	90	202	182	179	180	78	122	88	85	161	186	82	65
C1_04090C_A	348	515	301	366	101	200	475	491	250	430	105	231	307	359	250	444	124	150
C1_04100C_A	19072	24928	10716	9837	7751	8210	22838	25656	8828	11033	8377	11754	22776	20019	11109	13126	8499	9811
C1_04110W_A	411	548	526	1403	161	190	455	573	497	1266	153	299	458	400	525	1666	148	205
C1_04120C_A	344	849	1234	991	318	562	445	693	1137	1232	332	665	616	562	976	1568	292	499
C1_04130W_A	1652	8054	1546	1751	1323	3115	3371	3918	1365	2834	1397	3639	2965	2818	1459	2666	1558	3174
C1_04140W_A	1068	513	154	74	429	33	1077	698	159	491	382	65	1044	311	142	115	366	40
C1_04150C_A	224	221	187	153	73	79	313	163	188	199	58	123	142	93	145	169	58	82
C1_04160C_A	162	272	166	103	63	86	248	261	122	121	67	106	143	173	130	103	75	81
C1_04170C_A	4596	13967	3756	2890	3566	4655	14299	3997	3606	2544	4554	6491	1777	2242	2865	3854	3475	5589
C1_04180W_A	3695	12060	4011	2685	3070	3832	12378	2860	3382	2188	3634	5601	1069	1726	2764	3376	2851	5718
C1_04190C_A	765	1012	734	1020	328	297	925	937	681	1261	305	474	710	746	738	1392	277	352
C1_04200C_A	1094	1383	565	327	508	495	1399	1195	383	544	302	533	1440	1287	572	381	488	380
C1_04210C_A	6782	6966	3981	2254	2161	2330	8586	5764	3327	2205	2022	3219	4262	3303	2756	2824	2108	1934
C1_04220C_A	514	796	428	416	160	197	703	917	372	469	155	338	488	558	344	414	175	206
C1_04230W_A	1271	1810	929	501	609	625	1697	1881	806	660	643	910	1658	1362	853	707	729	658
C1_04240C_A	4813	10653	3396	1764	3692	4093	12911	4054	2983	1463	4604	6325	2245	2223	2515	2341	3608	5408
C1_04250C_A	37	49	30	42	11	15	30	74	32	40	8	20	21	44	29	45	3	16
C1_04260W_A	4241	13461	3168	1558	3786	4725	14796	2978	2602	1213	4483	7529	933	1565	2051	2216	3558	6644
C1_04270C_A	1	8	5	11	2	4	8	4	10	10	2	7	3	4	3	4	5	1
C1_04280C_A	352	313	215	101	145	232	325	412	197	107	161	279	206	205	152	174	171	199
C1_04290C_A	24175	45766	4967	5326	8414	14874	43072	34202	4079	6506	9120	18490	32738	26098	4314	4842	10784	15946
C1_04300C_A	27430	39336	1016	6094	4097	13202	24078	54643	627	6774	2895	10004	41232	52923	1281	7283	2482	11310
C1_04310C_A	85	134	93	239	51	48	128	117	73	235	58	62	105	88	99	265	47	67
C1_04320W_A	501	654	345	344	234	204	458	995	327	411	232	526	513	737	304	393	274	406
C1_04330W_A	1400	2060	3155	4343	651	390	1696	2384	2345	5511	435	617	1479	1194	3377	6265	718	393
C1_04340C_A	171	333	181	265	85	127	235	305	171	294	82	136	204	215	172	262	70	108
C1_04350C_A	154	369	415	196	219	122	214	248	230	400	107	192	364	281	481	265	201	100
C1_04360C_A	2469	3964	3328	2392	1694	1609	2548	4349	3050	2783	2132	1643	3222	3769	4028	3565	1261	1559
C1_04370C_A	1097	2822	1352	1891	435	950	1588	2830	1402	2022	561	944	1587	2037	1301	2554	365	881
C1_04380W_A	1005	1766	1162	1330	311	391	1334	2154	933	1800	422	510	1284	1336	1153	1440	410	441
C1_04390C_A	1629	9756	1946	3370	1372	3726	3416	5344	2026	4838	1638	4176	3861	3664	1815	5418	1736	3347
C1_04400C_A	7023	10048	3799	1966	3206	4685	8675	9989	2965	2466	3119	5970	9924	10113	3525	2471	3776	4707
C1_04410C_A	1079	1628	548	458	395	412	1390	1635	580	498	421	627	1236	1141	503	579	415	551
C1_04420C_A	2005	3595	1371	1266	1074	1377	2463	3188	1163	1437	958	1651	2653	3051	1162	1385	1022	1212
C1_04430C_A	128	240	138	53	147	119	177	139	98	67	135	160	168	168	123	74	117	102
C1_04440W_A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1_04450C_A	29	39	7	7	90	171	32	49	4	15	51	228	60	64	6	4	87	201
C1_04460C_A	17	26	298	331	26	14	13	66	279	415	14	20	73	117	293	372	23	17
C1_04470C_A	225	235	138	404	102	59	285	287	170	436	93	187	208	158	176	399	123	147
C1_04480C_A	1498	1720	2176	5476	886	705	2120	1792	1587	7283	433	1010	1584	1640	2405	5076	854	659
C1_04490W_A	1594	6674	3090	4860	1050	1288	3499	2746	2518	5103	947	1654	1123	1606	2195	5003	1266	1138
C1_04500W_A	22	25	38566	28045	237	21	27	131	22859	45658	100	24	68	98	38456	37434	138	21
C1_04510W_A	207	654	420	584	146	244	326	452	356	800	171	237	385	376	428	753	128	257
C1_04520C_A	2236	2518	1203	1360	909	887	2506	2952	1118	1507	900	1315	2093	1823	1060	1455	933	1002
C1_04530C_A	849	1724	952	1193	414	496	1182	1357	768	1592	321	600	1059	1089	892	1268	407	397
C1_04540C_A	752	1212	1015	669	365	427	998	1085	751	737	320	533	854	877	844	649	409	388
C1_04550W_A	290	411	207	297	121	184	369	471	237	284	161	194	338	265	252	301	162	172
C1_04560W_A	268	208	542	234	158	80	271	412	367	354	158	171	351	249	528	222	233	161
C1_04570C_A	139	354	205	165	61	60	316	146	194	124	69	102	75	88	125	111	61	90
C1_04580C_A	715	1289	669	899	215	176	1048	1248	683	894	191	250	545	521	740	773	185	214
C1_04590W_A	5962	5606	13161	9400	939	321	6631	8699	11059	11066	830	1228	3014	1952	18745	8931	1185	848
C1_04600C_A	2955	7819	2378	2899	926	1502	4177	6729	2124	3874	843	1683	3820	4521	2138	3611	861	1229
C1_04610W_A	40916	92360	19571	15483	19599	15236	55201	80253	13080	23056	13465	16354	56365	65987	20206	18840	19599	12569
C1_04620W_A	2947	3807	3400	3243	1396	1499	4402	3243	2973	3209	1565	1891	3609	2652	2282	3424	1589	1493
C1_04630C_A	1537	1880	1216	1978	540	587	1942	1684	893	2443	302	640	1292	897	1108	1771	535	416
C1_04640W_A	877	793	1307	1239	478	351	972	1466	911	1469	335	382	1189	916	1215	1164	540	289
C1_04650W_A	31	56	54	16	10	11	47	59	30	27	10	6	62	58	58	10	8	4
C1_04660W_A	242	1314	706	408	132	131	530	819	390	608	96	150	474	561	719	345	157	185
C1_04670W_A	1018	1919	745	682	431	545	1695	1265	694	642	464	784	1012	1046	526	662	460	576
C1_04680W_A	7169	10535	5247	2363	2573	2946	8846	14065	3521	5036	2260	3619	16834	19331	6137	3775	3040	3368
C1_04690C_A	4	4	16	4	0	0	1	5	6	12	2	1	6	3	17	19	0	0
C1_04700C_A	759	1238	809	547	254	168	778	2490	587	639	147	391	1457	1694	654	497	367	288
C1_04710C_A	317	1305	523	924	265	716	713	778	551	1198	329	729	684	660	402	1660	274	655
C1_04720W_A	187	452	591	795	95	145	284	246	559	1012	115	182	224	319	639	1212	74	180
C1_04730C_A	2045	4388	1573	1833	475	1804	2737	4107	1617	2458	662	1663	3172	3638	1575	2018	492	1762
C1_04740W_A	338	170	482	146	164	114	309	259	455	281	163	165	635	379	392	225	220	150
C1_04750W_A	273	394	32	30	5	15	265	321	28	34	4	24	432	587	32	27	4	11
C1_04760C_A	180	421	650	1317	156	150	328	334	396	1649	91	261	286	317	576	1086	153	150
C1_04770C_A	3460	5921	3636	5539	1129	550	4939	6602	3529	5730	772	1653	2307	1651	3853	4872	1494	1223
C1_04780C_A	1250	1719	965	906	445	359	1534	1865	709	1129	249	521	1234	1151	898	782	473	406
C1_04790W_A	952	1881	561	558	329	441	1176	1600	428	875	202	527	1162	1122	580	676	356	398
C1_04800C_A	18	35	5	3	2	2	23	18	2	8	5	2	13	25	5	3	5	4
C1_04810W_A	805	1324	1117	2600	373	326	1047	1421	772	3154	239	410	1187	1039	1190	2763	401	334
C1_04820C_A	316	767	403	384	106	177	458	727	369	395	142	218	413	481	316	476	85	197
C1_04830W_A	11339	11733	2171	1673	2613	2684	12628	12491	1650	2389	2199	3422	9154	6899	2319	1689	2923	2653
C1_04840C_A	138	352	453	533	117	99	259	240	359	634	70	122	206	170	378	730	85	111
C1_04850C_A	109	238	278	356	58	100	194	172	246	465	57	111	150	131	252	502	54	75
C1_04860W_A	1292	1544	1106	1045	578	591	1585	1892	809	1162	464	837	1453	1301	1062	983	596	592
C1_04870W_A	14	41	3	3	5	3	27	15	4	7	9	8	26	33	4	5	4	5
C1_04880C_A	697	1653	621	590	217	434	831	1569	607	776	250	479	916	1164	471	761	179	462
C1_04890W_A	11098	20659	4087	3839	3961	5085	15877	17810	3457	4951	3944	6510	14831	13066	3601	4268	4141	5646
C1_04900W_A	1113	438	2455	968	440	141	1561	428	1849	1208	309	162	1464	365	1666	915	507	109
C1_04910C_A	816	1678	545	601	389	446	1262	1443	454	763	516	871	950	1004	484	755	633	817
C1_04930C_A	214	84	112	66	52	34	133	175	82	89	58	72	107	89	117	73	61	44
C1_04940C_A	52	82	51	35	2	4	82	83	48	50	6	5	61	38	48	26	4	12
C1_04950C_A	505	969	818	1444	159	213	579	1048	606	2112	87	256	765	838	1134	1470	193	225
C1_04960C_A	470	584	632	647	217	253	446	835	471	794	185	329	521	505	605	593	279	203
C1_04970W_A	4441	11807	2238	2661	1001	1992	5118	11275	1686	3774	784	2387	5981	8749	2241	2745	1040	1931
C1_04980C_A	1421	2628	1496	1127	581	547	1715	2849	1213	1652	488	791	1790	1610	1581	1525	662	486
C1_04990C_A	465	1173	721	713	300	392	644	1058	608	779	256	514	703	910	605	802	318	395
C1_05000W_A	316	1805	40	63	176	90	431	2640	32	79	116	58	1173	2117	18	44	170	98
C1_05010C_A	751	1976	686	771	423	553	1219	1853	569	1071	684	764	1014	944	634	886	719	653
C1_05020C_A	353	498	290	246	160	196	392	822	234	299	160	252	427	404	255	307	184	202
C1_05030C_A	455	843	173	172	126	112	588	718	159	177	138	191	342	371	149	156	119	162
C1_05050C_A	1243	4998	1536	2347	720	2050	2169	3131	1344	3304	909	2052	2140	2200	1558	3420	874	1855
C1_05060W_A	710	3846	1403	2219	515	1677	1462	2434	1307	3037	635	1622	1787	1908	1131	4123	577	1372
C1_05070C_A	659	977	914	439	231	338	809	826	689	572	220	416	671	665	659	425	207	307
C1_05080W_A	80	151	153	111	21	34	111	191	101	166	27	45	132	128	113	135	36	34
C1_05090W_A	411	985	716	947	228	344	629	833	590	1107	241	421	529	570	593	1185	217	325
C1_05100W_A	160	385	143	72	55	75	316	221	121	134	63	94	157	138	134	102	76	79
C1_05110C_A	13212	22782	2368	2166	2012	5736	15824	24973	2040	2814	2420	6110	13768	15062	1857	2647	1908	5534
C1_05120W_A	831	1281	956	766	367	439	1035	1506	763	1010	267	519	908	874	724	1097	375	326
C1_05130W_A	0	1	1	0	1	0	0	0	0	4	0	0	0	1	1	2	0	0
C1_05140W_A	4721	6726	6852	17022	1367	1260	9431	2584	4402	29550	1141	1180	5805	3933	7564	23345	2201	725
C1_05150C_A	5	20	12	34	1	1	9	27	6	56	0	3	7	17	13	43	1	0
C1_05160C_A	73	133	3431	14103	219	128	122	88	2915	13912	158	274	85	663	3522	17970	260	203
C1_05170C_A	1444	1824	1809	1591	798	704	1992	1651	1682	1765	667	1011	1881	1684	1587	1771	822	703
C1_05180C_A	413	780	238	417	39	291	379	1077	281	285	79	236	639	913	231	288	25	341
C1_05190C_A	594	1204	604	568	148	514	689	1296	656	543	224	466	898	1060	585	599	99	576
C1_05200C_A	589	698	816	1244	199	139	793	882	662	1378	109	159	860	628	927	1133	269	138
C1_05210C_A	1699	4687	2424	2915	546	1058	2284	3467	2032	3684	506	1048	2226	2894	2025	3733	432	807
C1_05220C_A	80	225	152	134	46	85	135	145	123	178	30	94	119	150	122	194	31	65
C1_05230W_A	249	662	331	285	142	365	391	424	342	376	215	379	299	286	289	402	177	314
C1_05240C_A	1160	1590	765	706	559	454	1657	1853	614	843	429	743	1536	1251	773	772	683	475
C1_05250W_A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1_05260C_A	918	2025	387	230	488	521	1323	1409	286	387	334	686	1316	1421	332	367	562	445
C1_05270C_A	905	2503	1170	1313	333	654	1281	2293	1165	1608	325	710	1334	1509	1001	1807	292	574
C1_05280W_A	465	621	478	615	234	236	548	683	387	713	219	334	547	532	459	583	203	258
C1_05290W_A	10599	21205	4482	5238	3681	5385	14140	21683	3846	7713	3210	6581	14198	15035	4236	5707	3989	5273
